                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9074,                 1.4366,                 1.2018,                0.85426,                0.78556,                0.80962,                0.40249,                 1.7059,                0.82446,                 1.0541,             0.00065476,             0.00065476,             0.00065476
                      2,                 1.4111,                0.73389,                0.98251,                0.82137,                0.85567,                0.85093,                0.46459,                 1.5111,                0.78759,                 1.0208,              0.0013051,              0.0013051,              0.0013051
                      3,                 1.3415,                0.73847,                0.96662,                0.85769,                0.86987,                0.88664,                0.49577,                 1.4808,                0.81355,                 1.0191,              0.0019389,              0.0019389,              0.0019389
                      4,                 1.2445,                 0.7359,                0.96343,                0.88055,                  0.912,                0.95408,                0.57951,                 1.2852,                0.75122,                0.95755,              0.0019258,              0.0019258,              0.0019258
                      5,                 1.2155,                0.67362,                0.94707,                0.90683,                0.90311,                0.95011,                  0.573,                 1.2821,                 0.7297,                0.93931,              0.0019258,              0.0019258,              0.0019258
                      6,                 1.2045,                0.67355,                0.94812,                0.87931,                0.91753,                0.94308,                0.55507,                  1.298,                0.76804,                0.93683,               0.001901,               0.001901,               0.001901
                      7,                 1.2211,                0.67478,                0.93602,                0.93692,                0.91882,                0.95992,                 0.5752,                 1.2299,                0.74536,                0.91737,              0.0018763,              0.0018763,              0.0018763
                      8,                 1.1674,                0.62901,                0.93084,                0.93898,                0.86598,                0.92587,                0.52458,                 1.3338,                  0.712,                0.93806,              0.0018515,              0.0018515,              0.0018515
                      9,                  1.086,                0.59803,                0.92349,                0.96431,                0.94845,                0.97917,                0.61403,                 1.1625,                0.62217,                0.91387,              0.0018267,              0.0018267,              0.0018267
                     10,                 1.1031,                0.56928,                0.90867,                 0.9662,                0.93814,                0.97766,                0.60384,                 1.2222,                0.62379,                0.92469,               0.001802,               0.001802,               0.001802
                     11,                 1.0723,                0.57856,                0.90884,                0.96805,                0.94845,                 0.9816,                0.58669,                 1.2749,                0.60233,                 0.9252,              0.0017772,              0.0017772,              0.0017772
                     12,                  1.057,                0.56288,                0.90929,                0.90551,                0.94845,                 0.9728,                0.63251,                 1.1626,                0.61917,                0.90481,              0.0017525,              0.0017525,              0.0017525
                     13,                 1.0223,                0.54852,                0.89918,                0.90926,                0.90722,                0.96549,                0.62659,                  1.171,                0.58429,                0.90585,              0.0017278,              0.0017278,              0.0017278
                     14,                 1.0174,                0.54117,                0.89917,                0.89158,                0.97938,                0.96826,                0.62265,                 1.2029,                0.59349,                0.91138,               0.001703,               0.001703,               0.001703
                     15,                0.97617,                0.53643,                0.88575,                 0.9309,                0.97218,                0.97954,                0.63454,                 1.1601,                 0.5914,                0.91069,              0.0016783,              0.0016783,              0.0016783
                     16,                0.99787,                0.55259,                0.91663,                0.93421,                0.94845,                0.96872,                0.60729,                 1.1962,                0.59627,                0.91513,              0.0016535,              0.0016535,              0.0016535
                     17,                 1.0033,                0.52378,                0.89418,                0.94035,                0.97506,                0.98532,                 0.6425,                 1.1259,                0.59825,                0.90233,              0.0016287,              0.0016287,              0.0016287
                     18,                0.98002,                0.53322,                 0.8857,                0.92818,                0.93814,                0.98081,                0.62713,                 1.2053,                 0.6305,                0.92053,               0.001604,               0.001604,               0.001604
                     19,                 1.0351,                0.56069,                0.90196,                0.94023,                0.97303,                0.98584,                0.64563,                 1.1161,                0.59292,                0.90758,              0.0015793,              0.0015793,              0.0015793
                     20,                0.92052,                 0.5035,                0.85697,                0.94922,                0.96358,                0.98988,                0.63882,                 1.1274,                0.57071,                0.89607,              0.0015545,              0.0015545,              0.0015545
                     21,                0.94854,                 0.4865,                0.88233,                0.94788,                0.96907,                0.98696,                0.64666,                 1.1659,                0.57223,                0.89851,              0.0015298,              0.0015298,              0.0015298
                     22,                0.93995,                0.48033,                0.87147,                0.89703,                0.98796,                0.98248,                0.64754,                  1.152,                0.57725,                0.89463,               0.001505,               0.001505,               0.001505
                     23,                0.90836,                0.49397,                0.88694,                0.92267,                0.94845,                0.96918,                0.65344,                  1.076,                0.56888,                 0.8806,              0.0014803,              0.0014803,              0.0014803
                     24,                0.92409,                0.48859,                0.88282,                0.91941,                0.94092,                0.96095,                0.63188,                 1.1217,                0.59124,                0.88836,              0.0014555,              0.0014555,              0.0014555
                     25,                0.89275,                0.50087,                0.87107,                0.87607,                0.94739,                0.95801,                0.62862,                 1.1218,                0.59159,                0.89677,              0.0014307,              0.0014307,              0.0014307
                     26,                0.88794,                0.47713,                0.86646,                0.88779,                0.97875,                  0.966,                0.63285,                 1.1359,                0.56992,                0.89341,               0.001406,               0.001406,               0.001406
                     27,                0.85527,                0.45761,                0.86038,                0.91019,                 0.9403,                 0.9666,                0.62473,                 1.1733,                0.56985,                0.89631,              0.0013813,              0.0013813,              0.0013813
                     28,                0.96679,                 0.4824,                0.90725,                0.92258,                0.98288,                0.97833,                0.66312,                 1.1004,                0.56044,                0.89015,              0.0013565,              0.0013565,              0.0013565
                     29,                0.87111,                 0.4656,                 0.8866,                0.92999,                0.93814,                0.98171,                0.64618,                 1.1182,                0.54735,                0.88952,              0.0013318,              0.0013318,              0.0013318
                     30,                0.87404,                0.46984,                0.87443,                0.93713,                0.92198,                  0.975,                0.64347,                 1.1128,                0.53818,                0.88675,               0.001307,               0.001307,               0.001307
                     31,                0.86566,                0.47389,                0.87251,                0.93176,                0.93814,                0.97932,                0.62921,                 1.1408,                 0.5581,                0.89031,              0.0012822,              0.0012822,              0.0012822
                     32,                 0.8513,                0.46517,                0.85804,                 0.9376,                0.92939,                0.98421,                0.66017,                 1.1344,                0.55789,                 0.8894,              0.0012575,              0.0012575,              0.0012575
                     33,                0.80877,                0.46162,                0.86538,                 0.8987,                0.96907,                0.98128,                 0.6344,                 1.1444,                0.57009,                0.89422,              0.0012328,              0.0012328,              0.0012328
                     34,                0.86453,                0.45873,                0.86375,                0.89379,                0.94845,                0.97809,                0.63985,                 1.1248,                0.56056,                0.89818,               0.001208,               0.001208,               0.001208
                     35,                0.84303,                0.43762,                0.86628,                0.95667,                 0.9104,                0.98009,                 0.6756,                 1.0789,                0.52831,                0.89204,              0.0011833,              0.0011833,              0.0011833
                     36,                0.82907,                0.43203,                0.83738,                0.95717,                0.91753,                0.97877,                0.64994,                 1.0846,                0.55573,                 0.8928,              0.0011585,              0.0011585,              0.0011585
                     37,                0.81374,                0.44639,                 0.8648,                0.93433,                0.97938,                0.98308,                0.64825,                 1.1475,                0.56474,                0.89497,              0.0011337,              0.0011337,              0.0011337
                     38,                0.80912,                0.43244,                0.86315,                0.93058,                 0.9674,                0.97852,                0.64872,                 1.1233,                0.54358,                0.88376,               0.001109,               0.001109,               0.001109
                     39,                0.84302,                0.44801,                 0.8683,                0.92898,                0.96907,                 0.9766,                0.63589,                 1.1744,                  0.568,                0.88804,              0.0010842,              0.0010842,              0.0010842
                     40,                0.81491,                0.43324,                0.87707,                0.91819,                0.96907,                0.98386,                0.65985,                 1.0812,                0.54211,                0.88037,              0.0010595,              0.0010595,              0.0010595
                     41,                0.84062,                0.43797,                0.88428,                0.92295,                0.98789,                0.98654,                0.65716,                 1.1283,                 0.5301,                0.89262,              0.0010347,              0.0010347,              0.0010347
                     42,                0.82108,                0.43467,                0.86805,                0.91397,                0.98571,                0.98585,                0.65376,                 1.1005,                0.50889,                0.89079,                0.00101,                0.00101,                0.00101
                     43,                0.75857,                0.40665,                0.84307,                0.89665,                0.98387,                0.98196,                0.66871,                 1.0669,                0.52128,                0.88766,             0.00098525,             0.00098525,             0.00098525
                     44,                0.77417,                0.41416,                0.87353,                0.91149,                0.97938,                0.98257,                 0.6623,                 1.1014,                0.53418,                0.89117,              0.0009605,              0.0009605,              0.0009605
                     45,                0.79193,                0.42666,                0.85476,                0.94016,                0.97185,                 0.9864,                0.67978,                  1.069,                0.51697,                0.89134,             0.00093575,             0.00093575,             0.00093575
                     46,                 0.7751,                0.41851,                0.85233,                0.94038,                0.97564,                0.98702,                0.67102,                 1.0642,                0.51741,                0.88845,               0.000911,               0.000911,               0.000911
                     47,                0.77208,                0.41549,                 0.8597,                0.94804,                0.94056,                0.98561,                0.66909,                 1.1013,                0.54529,                0.88989,             0.00088625,             0.00088625,             0.00088625
                     48,                0.78216,                0.40949,                0.86579,                0.93136,                0.96907,                0.98742,                0.68168,                  1.074,                 0.5356,                0.88154,              0.0008615,              0.0008615,              0.0008615
                     49,                0.77688,                0.41077,                0.86866,                0.93121,                0.97684,                0.98762,                0.67783,                 1.0791,                0.53187,                0.88615,             0.00083675,             0.00083675,             0.00083675
                     50,                0.76057,                0.40951,                0.84581,                0.93109,                0.97509,                0.98488,                0.66882,                 1.0813,                0.53697,                0.88387,               0.000812,               0.000812,               0.000812
                     51,                0.76736,                0.41088,                0.85722,                0.92257,                0.98275,                0.98528,                 0.6743,                 1.0714,                0.51381,                0.87947,             0.00078725,             0.00078725,             0.00078725
                     52,                0.76888,                 0.4145,                0.85898,                0.92728,                0.98969,                0.98566,                0.67755,                 1.0773,                0.51511,                0.88174,              0.0007625,              0.0007625,              0.0007625
                     53,                0.72558,                0.40493,                0.84774,                 0.9285,                0.97938,                0.98608,                0.67694,                 1.1023,                0.51618,                0.88574,             0.00073775,             0.00073775,             0.00073775
                     54,                 0.7434,                0.41043,                0.85678,                0.92275,                0.98969,                  0.988,                 0.6874,                 1.0558,                0.50345,                0.87984,               0.000713,               0.000713,               0.000713
                     55,                0.71428,                0.37713,                0.84616,                0.92229,                0.98969,                0.98969,                 0.6819,                 1.0548,                0.49814,                0.88133,             0.00068825,             0.00068825,             0.00068825
                     56,                0.76965,                0.39541,                0.83898,                0.91152,                0.98969,                0.98849,                0.67396,                 1.0852,                 0.4991,                0.88523,              0.0006635,              0.0006635,              0.0006635
                     57,                0.74314,                0.38701,                 0.8558,                0.90309,                0.98969,                0.98525,                 0.6875,                 1.0516,                0.50035,                0.87883,             0.00063875,             0.00063875,             0.00063875
                     58,                0.74253,                0.38973,                0.84156,                0.92135,                0.96612,                0.98632,                0.69327,                 1.0374,                0.50349,                0.87212,               0.000614,               0.000614,               0.000614
                     59,                0.74928,                0.40213,                0.86982,                0.91019,                0.98969,                0.98346,                0.67621,                 1.0924,                0.51524,                0.88277,             0.00058925,             0.00058925,             0.00058925
                     60,                0.69373,                0.38198,                0.85369,                0.90434,                0.97464,                 0.9821,                 0.6754,                 1.0923,                0.51964,                0.88503,              0.0005645,              0.0005645,              0.0005645
                     61,                0.71165,                0.39995,                0.85124,                0.90296,                0.98969,                0.98446,                0.67811,                 1.0879,                0.52359,                0.88552,             0.00053975,             0.00053975,             0.00053975
                     62,                0.65249,                0.36656,                  0.845,                0.92307,                0.98963,                0.98646,                 0.6693,                 1.1072,                0.51564,                0.88814,               0.000515,               0.000515,               0.000515
                     63,                0.69172,                0.36914,                0.84186,                0.95873,                  0.958,                0.98747,                0.68696,                 1.0888,                0.51526,                0.88648,             0.00049025,             0.00049025,             0.00049025
                     64,                0.71086,                0.37694,                0.83494,                0.94996,                0.97858,                0.98933,                0.69452,                 1.0587,                0.50666,                0.87697,              0.0004655,              0.0004655,              0.0004655
                     65,                0.67888,                0.39802,                 0.8688,                0.94971,                0.97354,                0.98855,                0.69027,                 1.0598,                0.50225,                0.87513,             0.00044075,             0.00044075,             0.00044075
                     66,                 0.6838,                0.37014,                0.84355,                0.95932,                0.97253,                 0.9898,                0.67046,                 1.0988,                0.51242,                0.87976,               0.000416,               0.000416,               0.000416
                     67,                0.66045,                0.36522,                0.84208,                0.96872,                0.95771,                0.98894,                0.67693,                 1.0776,                0.50778,                0.87989,             0.00039125,             0.00039125,             0.00039125
                     68,                0.65235,                0.36473,                0.83958,                0.94958,                0.97074,                0.98959,                  0.668,                 1.0847,                0.49529,                0.88219,              0.0003665,              0.0003665,              0.0003665
                     69,                0.67901,                0.37848,                0.84651,                0.93113,                0.97564,                0.98867,                0.67535,                 1.0935,                0.49566,                 0.8835,             0.00034175,             0.00034175,             0.00034175
                     70,                0.66775,                0.36368,                0.82955,                0.90566,                0.98963,                0.98704,                0.66873,                 1.1044,                0.50848,                0.88171,               0.000317,               0.000317,               0.000317
                     71,                0.70697,                0.37243,                0.84161,                0.94389,                0.94845,                0.98485,                 0.6614,                 1.0919,                0.52861,                 0.8859,             0.00029225,             0.00029225,             0.00029225
                     72,                 0.7256,                0.38374,                0.85012,                0.92908,                0.95876,                0.98186,                0.66869,                 1.0809,                0.53635,                0.88663,              0.0002675,              0.0002675,              0.0002675
                     73,                0.66753,                0.35755,                0.84239,                0.95838,                0.90722,                0.98239,                0.66283,                 1.0906,                0.52749,                0.88993,             0.00024275,             0.00024275,             0.00024275
                     74,                0.69731,                0.38857,                0.83839,                0.92044,                0.95414,                0.98213,                0.66563,                 1.0775,                0.53422,                0.89019,               0.000218,               0.000218,               0.000218
                     75,                0.69867,                0.38386,                 0.8508,                0.94282,                0.93814,                0.98339,                0.66779,                 1.0711,                0.52782,                0.88854,             0.00019325,             0.00019325,             0.00019325
                     76,                0.66186,                 0.3562,                0.84053,                0.94999,                0.93814,                0.98526,                0.67383,                 1.0759,                0.51308,                0.88683,              0.0001685,              0.0001685,              0.0001685
                     77,                0.66173,                0.35695,                0.83785,                0.93722,                0.94845,                0.98453,                0.67137,                 1.0728,                0.51681,                0.88544,             0.00014375,             0.00014375,             0.00014375
                     78,                0.63003,                0.34578,                0.84681,                0.93822,                 0.9394,                0.98487,                0.67027,                 1.0711,                0.51448,                0.88504,               0.000119,               0.000119,               0.000119
                     79,                0.65161,                0.35005,                0.84893,                0.93856,                0.94486,                0.98496,                0.67012,                 1.0688,                0.52134,                0.88587,              9.425e-05,              9.425e-05,              9.425e-05
                     80,                0.64548,                0.34491,                0.85636,                0.93867,                0.94673,                0.98514,                0.66946,                  1.071,                0.51519,                0.88591,               6.95e-05,               6.95e-05,               6.95e-05
